,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
179,intermediate_CM,vCM_3,Ligand,Receptor,S100A1,RYR2,61.42733
180,CD4,vCM_3,Ligand,Receptor,CALM1,RYR2,61.420868
181,vSMCs_1,vCM_3,Ligand,Receptor,CALM1,RYR2,61.42018
182,Mast,vCM_3,Ligand,Receptor,CALM1,RYR2,61.41809
183,LYVE_FOLR_Macrophages,vCM_3,Ligand,Receptor,CALM1,RYR2,61.415707
184,CD8,vCM_3,Ligand,Receptor,CALM1,RYR2,61.41531
185,Lymphatic_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.41461
186,NK,vCM_3,Ligand,Receptor,CALM1,RYR2,61.413403
187,Monocytes,vCM_3,Ligand,Receptor,CALM1,RYR2,61.40786
188,CCL18_Macrophages,vCM_3,Ligand,Receptor,CALM1,RYR2,61.403355
189,Fib_3,vCM_3,Ligand,Receptor,CALM1,RYR2,61.40065
190,LYVE_PLTP_Macrophages,vCM_3,Ligand,Receptor,CALM1,RYR2,61.39875
191,Pericyte_1,vCM_3,Ligand,Receptor,CALM1,RYR2,61.390015
192,SPP1_Macrophages,vCM_3,Ligand,Receptor,CALM1,RYR2,61.389397
193,vSMCs_2,vCM_3,Ligand,Receptor,CALM1,RYR2,61.385414
194,healthy_CM,vCM_3,Ligand,Receptor,S100A1,RYR2,61.38115
195,Purkinje_fibers,vCM_3,Ligand,Receptor,S100A1,RYR2,61.368416
196,vCM_4,vCM_3,Ligand,Receptor,S100A1,RYR2,61.35621
197,damaged_CM,vCM_3,Ligand,Receptor,S100A1,RYR2,61.34932
198,vCM_3,vCM_3,Ligand,Receptor,S100A1,RYR2,61.342857
199,vCM_4,vCM_3,Ligand,Receptor,CALM3,RYR2,61.340553
200,healthy_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,52.348335
201,vCM_4,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,52.128384
202,intermediate_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,51.795826
203,damaged_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,51.514854
204,vCM_3,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,49.999393
205,NK_T,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,48.568684
206,Neuronal,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,48.343407
207,intermediate_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,48.142612
208,vCM_4,vCM_4,Ligand,Receptor,CALM2,CACNA1C,48.09483
209,healthy_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,48.058773
210,Pericyte_1,vCM_4,Ligand,Receptor,RIMS1,CACNA1C,47.918716
211,damaged_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.91236
212,prolif,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.82188
213,NK,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.77436
214,Purkinje_fibers,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.769093
215,Pericyte_2,vCM_4,Ligand,Receptor,RIMS1,CACNA1C,47.751675
216,intermediate_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.748356
217,vCM_3,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.718906
218,Adipo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.709904
219,healthy_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.658684
220,Pericyte_2,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.634808
221,Purkinje_fibers,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.630795
222,vCM_4,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.581417
223,damaged_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.57364
224,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.56922
225,Pericyte_2,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.56028
226,Endocardial_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.552467
227,vSMCs_2,vCM_4,Ligand,Receptor,RIMS1,CACNA1C,47.539955
228,Neuronal,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.529488
229,Capillary_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.52583
230,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.524796
231,Adipo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.523464
232,perivascular_fibroblasts,vCM_4,Ligand,Receptor,RIMS1,CACNA1C,47.52278
233,vSMCs_1,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.52028
234,vCM_3,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.513832
235,vSMCs_2,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.513638
236,Mast,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.5097
237,Fib_SCARA5,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.509224
238,Monocytes,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.5034
239,Fib_0,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.50189
240,Arterial_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.49884
241,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.49083
242,Myofib,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.490715
243,prolif,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.48888
244,Venous_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.488407
245,Fib_0,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.48584
246,prolif,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.480927
247,Lymphatic_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.479576
248,Mast,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.479267
249,CCL18_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.475014
250,CD8,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.47434
251,Arterial_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.471188
252,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.468346
253,Venous_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.468254
254,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.465355
255,CCL18_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.465103
256,Arterial_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.46416
257,Pericyte_1,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.46413
258,Myofib,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.463093
259,Capillary_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.463047
260,NK_T,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.462624
261,Venous_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.461273
262,Purkinje_fibers,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.46058
263,Fib_3,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.460396
264,Adipo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.459904
265,Fib_SCARA5,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.459175
266,Pericyte_2,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.45916
267,vSMCs_2,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.456795
268,Fib_SCARA5,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.455627
269,Neuronal,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.454803
270,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.45393
271,Pericyte_1,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.452873
272,Endocardial_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.452583
273,Myofib,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.449856
274,SPP1_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.447964
275,Fib_0,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.447506
276,Lymphatic_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.447014
277,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.44627
278,Monocytes,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.445915
279,CD4,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.443203
280,vSMCs_1,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.439972
281,CD4,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.438564
282,vSMCs_1,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.437878
283,Mast,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.435787
284,Endocardial_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.434475
285,perivascular_fibroblasts,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.43407
286,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.433403
287,Fib_3,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,47.433178
288,CD8,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.433006
289,CD8,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.433006
290,Lymphatic_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.43231
291,NK,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.4311
292,Capillary_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.430653
293,Monocytes,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.425556
294,CCL18_Macrophages,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.42105
295,Fib_3,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.418346
296,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.416447
297,CD4,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.416153
298,Pericyte_1,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.40771
299,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.407093
300,vSMCs_2,vCM_4,Ligand,Receptor,CALM1,CACNA1C,47.40311
301,NK,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.379375
302,NK_T,vCM_4,Ligand,Receptor,CALM2,CACNA1C,47.361614
303,vCM_4,vCM_4,Ligand,Receptor,CALM3,CACNA1C,47.35825
304,healthy_CM,damaged_CM,Ligand,Receptor,FGF12,FGFR1,43.0032
305,healthy_CM,intermediate_CM,Ligand,Receptor,FGF12,FGFR1,42.99644
306,healthy_CM,healthy_CM,Ligand,Receptor,FGF12,FGFR1,42.897465
307,healthy_CM,vCM_4,Ligand,Receptor,FGF12,FGFR1,42.826973
308,healthy_CM,Fib_SCARA5,Ligand,Receptor,FGF12,FGFR1,42.762066
309,healthy_CM,Fib_0,Ligand,Receptor,FGF12,FGFR1,42.744576
310,healthy_CM,vCM_3,Ligand,Receptor,FGF12,FGFR1,42.722935
311,healthy_CM,Adipo,Ligand,Receptor,FGF12,FGFR1,42.719463
312,healthy_CM,Myofib,Ligand,Receptor,FGF12,FGFR1,42.669853
313,healthy_CM,Purkinje_fibers,Ligand,Receptor,FGF12,FGFR1,42.659283
314,healthy_CM,Fib_3,Ligand,Receptor,FGF12,FGFR1,42.627872
315,healthy_CM,perivascular_fibroblasts,Ligand,Receptor,FGF12,FGFR1,42.58722
316,healthy_CM,Endocardial_Endo,Ligand,Receptor,FGF12,FGFR1,42.55388
317,healthy_CM,prolif,Ligand,Receptor,FGF12,FGFR1,42.54332
318,healthy_CM,LYVE_FOLR_Macrophages,Ligand,Receptor,FGF12,FGFR1,42.522205
319,healthy_CM,LYVE_PLTP_Macrophages,Ligand,Receptor,FGF12,FGFR1,42.503166
320,healthy_CM,Capillary_Endo,Ligand,Receptor,FGF12,FGFR1,42.49242
321,healthy_CM,Venous_Endo,Ligand,Receptor,FGF12,FGFR1,42.489624
322,healthy_CM,vSMCs_1,Ligand,Receptor,FGF12,FGFR1,42.47454
323,healthy_CM,Lymphatic_Endo,Ligand,Receptor,FGF12,FGFR1,42.469604
